country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
denmark,Western Europe,1960,6760,5.15294,38.72218,27.56923,4.415318624139866,2094,4769,27768.813408828777,27181.648808198428,0.4390857622143007
denmark,Western Europe,1970,9670,6.99891,39.85525,26.85634,5.277196548567288,2212,4922,41884.30853597794,40617.32569425422,0.44941080861438437
denmark,Western Europe,1980,11342,8.9633,40.52008,25.55678,6.1310191975364985,2705,5123,59485.712896638026,51957.05910918536,0.5280109310950615
denmark,Western Europe,1990,13909,10.63339,40.62694,23.99355,6.711134414783258,2881,5141,46810.566970930995,52023.75503700279,0.5603968099591519
denmark,Western Europe,2000,18641.57,11.60742,43.223,25.61558,7.344597434330538,2940,5336,56016.41238055358,61186.878843215134,0.5509745127436282
finland,Western Europe,1850,810.9829,0.0227,29.13576,23.11305,2.166664092162319,388.6774,1636,3885.216314549422,3885.216314549422,0.23757787286063567
finland,Western Europe,1865,785.5902,0.17559,29.1466,22.97101,2.206102756039255,428.1302,1844,6247.051279286518,5513.074790832441,0.2321747288503254
finland,Western Europe,1880,955.915,0.3339,29.58463,23.25073,2.2642319352676017,502,2058,6688.048084505115,6611.207078706813,0.24392614188532555
finland,Western Europe,1890,1144.114,0.57695,29.35151,22.77456,2.320019521308662,667.5,2376,5536.366457669464,6003.7586703389115,0.2809343434343434
finland,Western Europe,1900,1357.467,0.75099,30.0318,23.28081,2.3956033025568635,833,2714,6816.463770111598,6710.6114976901035,0.3069270449521002
finland,Western Europe,1910,1492.272,1.13885,30.54744,23.40859,2.528831655920683,1295,3116,6463.664504651268,6072.411715801603,0.415596919127086
finland,Western Europe,1920,1316.097,1.67637,32.19695,24.52057,2.7663285283597987,1499,3669,7000.836755639409,6276.659803663932,0.4085581902425729
finland,Western Europe,1930,2274.059,2.28019,32.54405,24.26385,2.987664564225116,1713,3366,6309.696124177096,7043.286814122095,0.5089126559714795
finland,Western Europe,1940,2684.096,3.056,34.09824,25.04224,3.3538703254598343,2019,3698,7931.149887497513,7863.514686455474,0.5459707950243374
finland,Western Europe,1950,3506,3.7533,35.53206,25.77876,3.7203211678428803,1985,4031,9899.312446094846,10408.52453614609,0.4924336392954602
